lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
122.4583,-2.0417,24.5523,-720.52,-49.5514033933992,74.1037033933992
122.5417,-2.0417,18.0926,-970.86,-66.76771706339248,84.86031706339249
122.625,-2.0417,25.5148,-927.13,-63.76032952329179,89.27512952329178
122.7083,-2.0417,24.9677,-934.27,-64.25135964074705,89.21905964074705
122.7917,-2.0417,33.7747,-821.0,-56.461586334842536,90.23628633484253
122.875,-2.0417,53.4724,-477.89,-32.86531972418745,86.33771972418745
122.9583,-2.0417,52.6054,-497.93,-34.24350509586863,86.84890509586863
123.0417,-2.0417,70.0734,-114.02,-7.841352099754867,77.91475209975488
123.125,-2.0417,53.0474,-397.64,-27.346388782200712,80.39378878220072
123.2083,-2.0417,77.4102,-145.94,-10.036545566025481,87.44674556602548
123.2917,-2.0417,101.9244,-29.3,-2.0150115464200806,103.93941154642009
123.375,-2.0417,99.9814,-176.76,-12.156090134648924,112.13749013464891
123.4583,-2.0417,104.3407,-137.88,-9.482245461447123,113.82294546144712
123.5417,-2.0417,134.5165,-26.94,-1.8527102751043336,136.36921027510434
123.625,-2.0417,131.9104,-9.49,-0.6526436715196781,132.5630436715197
123.7083,-2.0417,126.9688,-60.58,-4.166191108605068,131.13499110860508
123.7917,-2.0417,151.7626,-3.59,-0.24689049323031023,152.0094904932303
123.9583,-2.0417,104.2499,-116.27,-7.996088481305897,112.24598848130589
124.0417,-2.0417,88.7299,-405.99,-27.92063268706787,116.65053268706787
124.125,-2.0417,121.0775,-345.08,-23.73174690916865,144.80924690916865
124.2083,-2.0417,130.7095,-266.2,-18.307033230615204,149.0165332306152
124.2917,-2.0417,136.641,-128.7,-8.85092102471892,145.49192102471892
124.375,-2.0417,159.5208,-0.19,-0.013066627775420319,159.53386662777544
124.4583,-2.0417,165.8825,-8.51,-0.5852473808885627,166.46774738088857
124.5417,-2.0417,141.1599,-146.54,-10.077808601105755,151.23770860110574
124.625,-2.0417,133.3492,-379.81,-26.120188923065218,159.46938892306522
124.7083,-2.0417,136.9521,-568.74,-39.11323095259238,176.06533095259238
124.7917,-2.0417,117.9077,-893.09,-61.41933999973754,179.32703999973754
124.875,-2.0417,113.9786,-1052.52,-72.38361613781787,186.36221613781788
124.9583,-2.0417,127.5447,-1070.87,-73.64557729402293,201.19027729402293
125.0417,-2.0417,133.3481,-1015.3,-69.82393252833815,203.17203252833815
125.125,-2.0417,111.8865,-1098.71,-75.56018212174767,187.44668212174767
125.2083,-2.0417,115.983,-1360.0,-93.52954618195596,209.51254618195597
125.2917,-2.0417,136.3142,-1317.26,-90.59024264973773,226.90444264973775
125.375,-2.0417,175.6686,-723.0,-49.721957271731,225.39055727173098
125.4583,-2.0417,198.0881,-416.65,-28.65373927699408,226.74183927699409
125.5417,-2.0417,223.7771,-468.88,-32.245686480732,256.022786480732
125.625,-2.0417,220.619,-1091.62,-75.07259059054908,295.6915905905491
125.7083,-2.0417,203.5415,-772.72,-53.1412874453831,256.6827874453831
125.7917,-2.0417,238.1511,-350.75,-24.121682590677246,262.27278259067725
126.0417,-2.0417,218.5744,-636.25,-43.75601011637462,262.3304101163746
126.125,-2.0417,155.7053,-1758.41,-120.9288891925097,276.63418919250967
126.2083,-2.0417,133.7448,-1802.15,-123.93696444986173,257.6817644498617
126.2917,-2.0417,135.033,-1769.62,-121.6998202312595,256.7328202312595
126.375,-2.0417,136.5433,-1757.21,-120.84636312234915,257.38966312234913
126.4583,-2.0417,133.1038,-1692.48,-116.39476935443885,249.49856935443887
126.5417,-2.0417,125.408,-1673.21,-115.0695382111107,240.4775382111107
126.625,-2.0417,112.733,-1853.86,-127.49315035653005,240.22615035653007
126.7083,-2.0417,100.017,-2046.0,-140.7069496237367,240.7239496237367
126.7917,-2.0417,96.1311,-2043.0,-140.50063444833532,236.63173444833532
126.875,-2.0417,113.3072,-1778.65,-122.32082890921764,235.62802890921762
126.9583,-2.0417,103.5362,-1817.04,-124.96097543710387,228.49717543710386
127.0417,-2.0417,96.5156,-1668.32,-114.73324447520645,211.24884447520645
127.125,-2.0417,90.9633,-1804.72,-124.11370778345557,215.07700778345557
127.2083,-2.0417,85.2037,-2160.78,-148.60056823459325,233.80426823459325
127.2917,-2.0417,47.4166,-2572.62,-176.9235155136938,224.34011551369377
